X++ Compiler - Version 1.0 - 2004
Reading from file testes_e_logs/teste_lexico.x . . .
class  class 13
teste  <IDENT> 40
{  { 45
public  public 31
final  final 30
byte  byte 26
idade  <IDENT> 40
(  ( 43
byte  byte 26
i  <IDENT> 40
)  ) 44
{  { 45
private  private 32
byte  byte 26
idade  <IDENT> 40
;  ; 49
if  if 18
(  ( 43
idade  <IDENT> 40
>  > 53
0  <int_constant> 34
&&  && 64
idade  <IDENT> 40
<=  <= 56
127  <int_constant> 34
)  ) 44
{  { 45
idade  <IDENT> 40
=  = 52
i  <IDENT> 40
;  ; 49
return  return 23
idade  <IDENT> 40
;  ; 49
}  } 46
}  } 46
protected  protected 33
imprimeIteracao  <IDENT> 40
(  ( 43
short  short 27
i  <IDENT> 40
)  ) 44
{  { 45
for  for 17
(  ( 43
i  <IDENT> 40
=  = 52
0  <int_constant> 34
;  ; 49
i  <IDENT> 40
<  < 54
100  <int_constant> 34
;  ; 49
i  <IDENT> 40
+  + 59
+  + 59
)  ) 44
{  { 45
if  if 18
(  ( 43
i  <IDENT> 40
>  > 53
10  <int_constant> 34
||  || 65
i  <IDENT> 40
<  < 54
50  <int_constant> 34
)  ) 44
{  { 45
print  print 21
i  <IDENT> 40
;  ; 49
}  } 46
}  } 46
}  } 46
protected  protected 33
int  int 19
compara  <IDENT> 40
(  ( 43
long  long 28
a  <IDENT> 40
)  ) 44
{  { 45
if  if 18
(  ( 43
!  ! 67
a  <IDENT> 40
)  ) 44
{  { 45
return  return 23
1  <int_constant> 34
;  ; 49
}  } 46
return  return 23
0  <int_constant> 34
;  ; 49
}  } 46
protected  protected 33
testaXor  <IDENT> 40
(  ( 43
)  ) 44
{  { 45
float  float 29
a  <IDENT> 40
=  = 52
1  <int_constant> 34
;  ; 49
float  float 29
b  <IDENT> 40
=  = 52
2  <int_constant> 34
;  ; 49
a  <IDENT> 40
=  = 52
a  <IDENT> 40
^  ^ 66
b  <IDENT> 40
;  ; 49
b  <IDENT> 40
=  = 52
b  <IDENT> 40
^  ^ 66
a  <IDENT> 40
;  ; 49
print  print 21
"a= "  <string_constant> 38
+  + 59
a  <IDENT> 40
;  ; 49
print  print 21
"b= "  <string_constant> 38
+  + 59
b  <IDENT> 40
;  ; 49
}  } 46
}  } 46
  <EOF> 0
Program successfully analyzed.
